Votes,UnemploymentRate2015,PovertyAllAgesPct2014,DeepPovAll,AgeTotalPop,MaleRate,FemaleRate,TurnoutRate,Democrat,State,County,Education,Religion,Old,Young,Adult,EthnicMale,EthnicFemale,NomalizePopulation,NomalizeMedHHInc2014,NomalizePerCapitaInc,NomalizeToalArea,NomalizePopDensity
7471,0.032,0.162,0.04933008526,1143123.501,0.483099789,0.49832627,0.02236156839,0,02,013,high school diploma,Other Misc,0.096914783,0.25037031899999995,0.5845953960000001,White,White,-0.3038171760527351,0.6876693625609553,0.5366317011006004,3.6076044423214957,-0.15176554094485897
7471,0.038,0.099,0.04287817446,1143123.501,0.483099789,0.49832627,0.0131024202,0,02,016,high school diploma,Catholic,0.096914783,0.25037031899999995,0.5845953960000001,White,White,-0.29607970290957997,1.7562841327494894,1.5150321831503837,3.3740696155885557,-0.1512437471858913
7471,0.05,0.1,0.03903225031,1143123.501,0.483099789,0.49832627,0.00025012136,0,02,020,college,Christian Generic,0.096914783,0.25037031899999995,0.5845953960000001,White,White,0.6191962265636929,2.31957020078001,2.182968546658016,0.19670782128951586,-0.0527406809096621
7471,0.14400000000000002,0.23800000000000002,0.0864484623,1143123.501,0.483099789,0.49832627,0.00416304469,0,02,050,high school diploma,Catholic,0.096914783,0.25037031899999995,0.5845953960000001,White,White,-0.2594641895065166,-0.11050525959766042,-0.9099206071576573,11.578651367153745,-0.15176554094485897
7471,0.092,0.095,0.04868154158,1143123.501,0.483099789,0.49832627,0.08375560538,0,02,060,college,Catholic,0.096914783,0.25037031899999995,0.5845953960000001,White,White,-0.31067219358121645,2.333129413337915,2.2713718888869674,-0.08388319347197049,-0.1508379075955831
7471,0.087,0.071,0.07211296016,1143123.501,0.483099789,0.49832627,0.038931735280000004,0,02,068,college,Christian Generic,0.096914783,0.25037031899999995,0.5845953960000001,White,White,-0.308021629434243,1.8641790863352563,2.2390976528351283,3.0239268259651895,-0.15193947219784817
7471,0.09699999999999999,0.175,0.060747663550000004,1143123.501,0.483099789,0.49832627,0.01495097058,0,02,070,high school diploma,Catholic,0.096914783,0.25037031899999995,0.5845953960000001,White,White,-0.2983625772171059,0.3255391735144733,-0.40142598588438344,5.151228817248593,-0.1518235180291887
7471,0.054000000000000006,0.095,0.036685608839999995,1143123.501,0.483099789,0.49832627,0.00074986701,0,02,090,college,Christian Generic,0.096914783,0.25037031899999995,0.5845953960000001,White,White,-0.0018638852925797352,1.7078347512925856,1.5511652952518995,1.629851313913839,-0.1442864970663224
7471,0.09699999999999999,0.098,0.02662957075,1143123.501,0.483099789,0.49832627,0.02948303078,0,02,100,bachelor or higher,Christian Generic,0.096914783,0.25037031899999995,0.5845953960000001,White,White,-0.305841068821172,1.6631058854765703,1.4469756419106354,0.39654370479036943,-0.15135970135455076
7471,0.15,0.191,0.060462919229999995,1143123.501,0.483099789,0.49832627,0.03502578528,0,02,105,college,Catholic,0.096914783,0.25037031899999995,0.5845953960000001,White,White,-0.3069857032778867,0.37555943935308556,1.1836950532486195,2.5370095091451956,-0.1518235180291887
7471,0.046,0.079,0.02924883669,1143123.501,0.483099789,0.49832627,0.0022808035199999997,0,02,110,bachelor or higher,Christian Generic,0.096914783,0.25037031899999995,0.5845953960000001,White,White,-0.2138642548091285,2.785461437144605,2.4546685012465987,0.5346617982933335,-0.14527210749992803
7471,0.078,0.115,0.03984740829,1143123.501,0.483099789,0.49832627,0.00128679447,0,02,122,college,Christian Generic,0.096914783,0.25037031899999995,0.5845953960000001,White,White,-0.13672932109895536,1.2722037088072173,1.3240178186913993,6.154227204351223,-0.15002622841496674
7471,0.068,0.124,0.043756511389999996,1143123.501,0.483099789,0.49832627,0.00544970457,0,02,130,college,Christian Generic,0.096914783,0.25037031899999995,0.5845953960000001,White,White,-0.270769852743788,0.878986544627978,1.3034956142453928,1.423315896476914,-0.15037409092094517
7471,0.049,0.083,0.030708198649999997,1143123.501,0.483099789,0.49832627,0.0053790769700000005,0,02,150,college,Catholic,0.096914783,0.25037031899999995,0.5845953960000001,White,White,-0.27040216290434055,1.721972710727962,1.0402150255833769,2.8265506621029792,-0.15077993051125335
7471,0.23199999999999998,0.1542848529,0.06846858026000001,1143123.501,0.483099789,0.49832627,0.00920187215,0,02,158,high school diploma,Catholic,0.096914783,0.25037031899999995,0.5845953960000001,White,White,-0.3138599046240783,0.6962620133168692,0.7314554409997164,1.09710773712387e-10,1.0521670017897382
7471,0.127,0.177,0.06549628629,1143123.501,0.483099789,0.49832627,0.04779910429,0,02,164,high school diploma,Other Misc,0.096914783,0.25037031899999995,0.5845953960000001,White,White,-0.3086451035098278,-0.130182653431693,-0.4352788530474541,8.28986505740682,-0.15193947219784817
7471,0.078,0.107,0.050297205830000004,1143123.501,0.483099789,0.49832627,0.00073900786,0,02,170,college,Christian Generic,0.096914783,0.25037031899999995,0.5845953960000001,White,White,-0.02931592843602207,2.218785565974608,1.0437230947194465,6.286307091302362,-0.14991027424630723
7471,0.11699999999999999,0.261,0.12070050339999999,1143123.501,0.483099789,0.49832627,0.0075878529400000005,0,02,180,high school diploma,Christian Generic,0.096914783,0.25037031899999995,0.5845953960000001,White,White,-0.2835111050063803,0.0012755658797011379,-0.7738075246781607,7.075720258773144,-0.15176554094485897
7471,0.055999999999999994,0.115,0.04540643522,1143123.501,0.483099789,0.49832627,0.007712398059999999,0,02,185,college,Christian Generic,0.096914783,0.25037031899999995,0.5845953960000001,White,White,-0.2837093377893868,2.359421057200194,4.5963447088170275,24.46331370598425,-0.15193947219784817
